date,stock,target,market_cap,price,price_1Y,price_6M,i_revenue,i_inc_lag_days,i_costOfRevenue,i_grossProfit,i_netIncome,i_otherExpenses,i_eps,i_ebitda,i_researchAndDevelopmentExpenses,i_interestIncome,b_cashAndCashEquivalents,b_totalDebt,b_bal_lag_days,b_netDebt,b_totalAssets,b_otherCurrentAssets,b_totalLiabilities,b_totalEquity,b_cashAndShortTermInvestments,b_netReceivables,b_totalCurrentLiabilities,b_totalStockholdersEquity,c_debtRepayment,c_lag_days,c_freeCashFlow,c_dividendsPaid,c_otherFinancingActivites,c_operatingCashFlow,c_capitalExpenditure,e_current_estimated_eps,e_future_estimated_eps,e_current_estim_rev,e_future_estim_rev,price_to_sales,fwd_price_to_sales_diff,est_eps_growth,peRatio,pegRatio,dividend_payout_ratio,est_rev_growth,fcf,fcf_yield,fcf_margin,acid_test,1Y_return,6M_return,div_by_rev_growth,GPRatio,nedDebtToMarketCap,EVGPratio,EVEbitdaRatio,EVRevenue
2021-07-28,VLO,1,27391100000,67.3,51.62,65.11,27748000000,28,27051000000.0,697000000,162000000,102000000.0,0.39,1199000000,0,0.0,3572000000,14680000000,28,11108000000,55456000000,1130000000.0,36752000000,18704000000,3572000000,9132000000,14214000000,17651000000,-26000000,28,1653000000.0,-401000000,1000000,2008000000,-355000000.0,0.14164,0.92162,21747259400,24972314800,0.987137811734179,0.1097208583319214,5.506777746399322,172.56410256410254,0.3133667464188758,-2.4753086419753085,0.1482970953112372,2363000000.0,0.0862688975616167,0.0851592907596943,0.8937667088785705,30.37582332429291,3.363538626939023,-16.691551758180267,0.0595718610350295,0.405533184136453,55.23543758967001,32.109341117598,1.3874549517082313
2021-09-03,TSCO,0,22707532400,198.8,137.65,172.98,3601559000,69,2314074000.0,1287485000,370022000,64853000.0,3.21,550736000,0,0.0,1412001000,3815009000,69,2403008000,7687888000,324636000.0,5707775000,1980113000,1412001000,-162318000,2083531000,1980113000,-1121000,69,516502000.0,-59896000,0,631790000,-115288000.0,2.97503,1.65977,3484344040,2861475601,6.304917509334152,1.630684804403696,-0.442099743531998,61.93146417445483,-1.4008482266846736,-0.161871456291788,-0.1787620372298253,747078000.0,0.0329000081047996,0.2074318371571866,0.5997909318363873,44.42426443879405,14.926581107642514,0.9055136023297726,0.1434106729891139,0.1058242682503009,19.50355957545137,45.59451425002179,6.972130791137949
2021-09-03,TTWO,0,18592848000,160.56,153.53,169.74,813346000,65,329715000.0,483631000,152256000,12465000.0,1.32,215463000,92294000,27000.0,1400876000,188312000,65,-1212564000,6314255000,978886000.0,2682948000,3631307000,2536064000,590943000,2165329000,3618932000,0,65,61809000.0,0,-48231000,148242000,-86433000.0,0.8929,1.35392,685505140,873167026,22.859703004625334,-1.566127495739824,0.5163176167543958,121.63636363636364,2.3558437614617387,0.0,0.2737570808002986,234675000.0,0.0126217887652284,0.2885303425602388,1.4441255809163411,4.578909659349964,-5.408271474019092,0.0,0.1894679509089612,-0.0652166897723253,35.9370759938879,80.66481948176717,21.368868845485192
2021-09-03,MCD,0,178422422000,238.82,218.0,222.44,5887900000,65,2668400000.0,3219500000,2219300000,-18600000.0,2.97,3027400000,0,2400000.0,3049400000,49262000000,65,46212600000,51893100000,1370500000.0,57701100000,-5808000000,3049400000,1808300000,3934800000,-5808000000,-399800000,65,1250600000.0,-963300000,59800000,1733200000,-482600000.0,2.11166,2.46025,5583500445,6051106364,30.303235788651303,-0.8173184593025695,0.1650786584961593,80.41077441077441,4.871058145450415,-0.4340557833551119,0.0837478072413765,2215800000.0,0.0124188427393951,0.3763311197540719,1.2345481345938802,9.550458715596328,7.363783492177664,-5.182891321608979,0.2124017051920039,0.2590066847091673,69.77326355024073,74.2006414745326,38.151976426230064
2021-09-07,BMY,0,144656610000,65.19,59.53,62.62,11703000000,69,2452000000.0,9251000000,1055000000,435000000.0,0.47,5322000000,3271000000,0.0,11024000000,46293000000,69,35269000000,110797000000,1733000000.0,73923000000,36874000000,14016000000,11275000000,18991000000,36808000000,-1123000000,69,2850000000.0,-1099000000,276000000,3060000000,-210000000.0,1.88616,1.91869,11268834400,11612290000,12.36064342476288,0.0965558012295808,0.0172466810875005,138.70212765957447,80.42250387530999,-1.0417061611374407,0.0304783607433258,3270000000.0,0.0226052580659812,0.2794155344783389,1.3317360855141909,9.50781118763648,4.104120089428298,-34.178549493202425,0.5230282833461506,0.2438118797336672,19.449314668684465,33.807893649004136,15.374315132871914
2021-09-07,MRO,1,9136620000,11.58,4.34,10.17,1254000000,69,825000000.0,429000000,16000000,4000000.0,0.02,647000000,0,0.0,970000000,4908000000,69,3938000000,17800000000,19000000.0,7166000000,10634000000,970000000,1008000000,1575000000,10634000000,0,69,381000000.0,-32000000,-522000000,655000000,-274000000.0,0.17405,0.30984,1132259832,1321996102,7.28598086124402,-0.3747501956032222,0.7801781097385808,579.0,7.421382281464027,-2.0,0.1675730822887656,929000000.0,0.1016787389647375,0.740829346092504,1.2558730158730158,166.82027649769586,13.864306784660767,-11.93509108195286,0.3038277511961722,0.4310127815319013,30.476969696969697,20.20806800618238,10.426331738437002
2021-09-07,MOS,1,12210570000,32.15,18.03,30.56,2800700000,69,2048400000.0,752300000,437200000,1400000.0,1.15,806500000,0,6500000.0,1417600000,4462900000,69,3045300000,21473500000,445100000.0,10957900000,10515600000,1417600000,930500000,4137900000,10338000000,-14200000,69,717900000.0,-28600000,-39300000,1015100000,-297200000.0,0.98972,1.55552,2854154214,3679893881,4.359827900167815,-1.0416425407895131,0.5716768378935456,27.95652173913044,0.4890266648224138,-0.0654162854528819,0.2893115105517561,1312300000.0,0.1074724603355944,0.4685614310708037,0.5674617559631697,78.31392124237381,5.202879581151832,-0.226110206704615,0.2563287749491199,0.2493986767202514,20.278971155124285,18.91614383137012,5.447163209197701
2022-01-10,FSLR,1,8893650000,84.3,96.58,81.35,907319000,10,660830000.0,246489000,131370000,-2284000.0,1.24,238753000,29881000,2183000.0,1450654000,239901000,10,-1210753000,7413746000,242660000.0,1454195000,5959551000,1826043000,454709000,726878000,5959551000,49872000,10,-160425000.0,0,-112000,34467000,-194892000.0,1.07322,-0.42766,917694666,588727412,9.802120312701486,5.304446527437428,-1.3984830696408936,67.98387096774194,-0.4861258061936997,0.0,-0.3584713589258238,229359000.0,0.0257890742271171,0.2527876083273909,3.1377370067604198,-12.714847794574446,3.626306084818688,-0.0,-0.143878834235809,-0.1361367942295907,31.16933007152449,32.179268951594324,8.467691076677552
2021-11-26,PAYC,0,25397784880,437.84,437.15,340.0,256194000,57,42680000.0,213514000,30379000,244000.0,0.52,51463000,31077000,0.0,230926000,29590000,57,-201336000,4218038000,3058175000.0,3392697000,825341000,230926000,23215000,3086273000,825341000,-443000,57,57708000.0,0,905807000,83194000,-25486000.0,0.90247,1.08276,250315692,276577899,99.1349714669352,-7.306286051980919,0.1997739537048322,841.9999999999999,42.14763658550114,0.0,0.1049163429993833,108680000.0,0.0042791133365958,0.4242097785272098,0.0823455993685587,0.1578405581608138,28.776470588235288,0.0,0.346553783460971,-0.0079273055091724,118.00841574791347,489.603188310048,98.34909826147371
2021-11-26,CAH,0,13280400000,47.6,56.99,59.31,43968000000,57,42326000000.0,1642000000,271000000,4000000.0,0.94,655000000,0,0.0,2463000000,5654000000,57,3191000000,42993000000,6486000000.0,41597000000,1396000000,2463000000,9305000000,26499000000,1393000000,-587000000,57,-713000000.0,-149000000,-28000000,-646000000,-67000000.0,1.32021,1.23121,41843863596,45594986339,0.302046943231441,-0.0107780764911408,-0.067413517546451,50.63829787234043,-7.51159407124072,-0.5498154981549815,0.0896457071750559,-579000000.0,-0.0435980843950483,-0.0131686681222707,0.4440922298954677,-16.476574837690823,-19.743719440229302,-6.133204985279746,-0.0162163391557496,0.2402789072618294,10.031303288672351,25.147175572519085,0.3746224526928675
