date,symbol,price,pe_ratio,to_buy
2022-01-07,NRG,40.56,-23.177142857142854,0
2022-01-07,CCL,21.9,-9.48051948051948,0
2021-11-15,NCLH,25.51,-11.139737991266376,0
2021-11-15,ZETA,9.28,-17.50943396226415,0
2021-11-15,HRB,24.55,-28.88235294117647,0
2021-11-15,RKLB,14.29,-36.64102564102564,1
2021-11-15,RCL,85.26,-15.252236135957068,0
2021-11-15,CCL,22.3,-8.92,0
2021-11-30,NCLH,19.51,-8.519650655021834,1
2021-11-30,ZETA,8.33,-15.716981132075473,1
2021-11-30,HRB,23.68,-27.858823529411765,0
2021-11-30,RCL,69.82,-12.490161001788907,1
2021-11-30,CCL,17.62,-7.627705627705628,1
2024-05-06,CLBT,11.2,-31.11111111111111,1
2024-05-06,FSLY,8.78,-27.4375,0
2024-05-06,CORZ,3.43,3.769230769230769,1
2024-05-06,ASTS,2.48,-15.5,1
2022-05-18,NCLH,15.9,-6.76595744680851,0
2022-05-18,ZETA,7.71,-14.277777777777777,1
2022-05-18,CLBT,4.69,16.75,1
2022-05-18,AAL,16.89,-6.7023809523809526,0
2022-05-18,MSTR,19.74,-17.017241379310345,1
2022-05-18,FSLY,11.06,-20.48148148148148,1
2022-05-18,MGNI,10.13,-29.794117647058822,1
2022-05-18,RCL,59.6,-12.680851063829786,0
2022-05-18,DAL,39.31,-26.56081081081081,0
2022-05-18,ASTS,7.28,-9.972602739726028,1
2022-05-18,CCL,13.84,-8.337349397590362,0
2023-04-18,ZETA,10.34,-27.210526315789476,0
2023-04-18,CLBT,5.72,-26.0,1
2023-04-18,MU,61.93,-29.07511737089202,1
2023-04-18,MSTR,32.99,8.45897435897436,0
2023-04-18,ALK,42.55,-38.33333333333333,1
2023-04-18,MGNI,9.63,-13.19178082191781,1
2023-04-18,ASTS,4.44,-7.047619047619048,1
2023-04-18,NRG,34.66,-5.975862068965517,0
2021-11-26,NCLH,20.06,-8.759825327510915,1
2021-11-26,ZETA,8.35,-15.754716981132074,1
2021-11-26,HRB,25.03,-29.447058823529414,0
2021-11-26,RKLB,15.45,-39.61538461538461,0
2021-11-26,RCL,67.98,-12.161001788908766,1
2021-11-26,CCL,17.95,-7.18,1
2023-03-10,ZETA,10.23,-28.416666666666668,0
2023-03-10,HRB,35.58,-24.88111888111888,0
2023-03-10,MU,54.93,-25.7887323943662,1
2023-03-10,MSTR,19.2,-8.767123287671232,1
2023-03-10,FSLY,13.38,-35.21052631578947,1
2023-03-10,MGNI,8.75,-32.407407407407405,1
2023-03-10,AIV,7.33,-5.311594202898551,1
2023-03-10,ASTS,6.01,-14.658536585365852,0
2023-03-10,NRG,31.63,-6.631027253668764,1
2023-06-13,ZETA,9.3,-24.47368421052632,0
2023-06-13,CLBT,6.4,-29.090909090909093,1
2023-06-13,MU,67.87,-39.23121387283237,0
2023-06-13,MSTR,28.38,7.276923076923077,1
2023-06-13,MGNI,13.55,-18.56164383561644,1
2023-06-13,ASTS,5.94,-9.428571428571429,1
2023-06-13,NRG,34.35,-5.922413793103448,1
2024-03-07,NEM,33.89,-10.524844720496894,1
2024-03-07,HRB,48.35,-36.35338345864662,1
2024-03-07,ALB,122.66,-23.319391634980988,1
2024-03-07,LEG,20.55,-9.426605504587156,0
2024-03-07,CORZ,4.04,-7.921568627450981,0
2024-03-07,ASTS,2.95,-8.428571428571429,1
2021-03-24,NCLH,25.31,-10.08366533864542,1
2021-03-24,AAL,21.81,-5.724409448818897,1
2021-03-24,HRB,19.82,-15.606299212598426,1
2021-03-24,MRO,10.44,-24.27906976744186,1
2021-03-24,UAL,53.83,-8.424100156494523,1
2021-03-24,ALK,65.42,-18.853025936599423,1
2021-03-24,AIV,5.64,-21.69230769230769,1
2021-03-24,HBI,19.24,-20.25263157894737,1
2021-03-24,LYV,81.55,-39.01913875598086,1
2021-03-24,RCL,81.58,-13.395730706075534,1
2021-03-24,DAL,45.61,-38.32773109243698,1
2021-03-24,ASTS,12.0,-40.0,0
2021-03-24,LUV,57.7,-37.46753246753247,1
2021-03-24,CCL,24.85,-13.805555555555555,1
2024-09-10,LEG,11.59,-2.640091116173121,1
2024-09-10,FSLY,5.79,-18.09375,1
2024-09-10,AIV,8.88,-20.65116279069768,0
2024-09-10,OKLO,6.09,-1.1779497098646037,1
2024-09-10,CORZ,10.01,-2.2195121951219514,1
2024-09-10,IONQ,6.9,-38.333333333333336,1
2023-10-02,LNC,24.21,5.012422360248447,0
2023-10-02,ZETA,8.14,-30.14814814814815,1
2023-10-02,HRB,42.42,-37.875,1
2023-10-02,MSTR,32.95,-32.62376237623763,1
2023-10-02,ASTS,3.72,-6.642857142857142,1
2021-12-20,NCLH,20.74,-9.056768558951964,1
2021-12-20,ZETA,7.88,-14.867924528301886,1
2021-12-20,RKLB,11.89,-30.48717948717949,0
2021-12-20,RCL,72.66,-12.998211091234348,1
2021-12-20,CCL,18.9,-8.181818181818182,1
2021-10-05,NCLH,27.76,-12.12227074235808,0
2021-10-05,ZETA,8.22,-15.50943396226415,1
2021-10-05,HRB,25.62,-30.14117647058824,0
2021-10-05,RKLB,14.59,-37.41025641025641,1
2021-10-05,RCL,91.01,-16.280858676207515,0
2021-10-05,CCL,25.42,-10.168,0
2024-06-18,CLBT,11.98,-33.27777777777778,1
2024-06-18,FSLY,6.99,-21.84375,1
2024-06-18,ALK,41.51,-39.53333333333333,0
2024-06-18,CORZ,8.91,9.79120879120879,1
2024-06-18,IONQ,7.21,-37.94736842105263,1
2021-08-23,NCLH,24.64,-12.701030927835053,1
2021-08-23,ZETA,6.25,-3.378378378378378,1
2021-08-23,MSTR,71.85,-23.403908794788272,0
2021-08-23,UAL,45.53,-33.97761194029851,1
2021-08-23,RCL,80.25,-15.170132325141775,1
2021-08-23,ASTS,9.26,-23.74358974358974,1
2021-08-23,FTI,6.33,-17.10810810810811,1
2021-08-23,CCL,22.83,-12.475409836065571,1
2024-03-12,NEM,33.88,-10.521739130434783,1
2024-03-12,HRB,47.78,-35.92481203007519,1
2024-03-12,ALB,123.93,-23.560836501901143,0
2024-03-12,LEG,19.38,-8.889908256880734,0
2024-03-12,AIV,7.58,-7.08411214953271,1
2024-03-12,CORZ,3.54,-6.941176470588236,1
2024-03-12,ASTS,2.98,-8.514285714285714,1
2022-12-14,ZETA,9.03,-18.428571428571427,1
2022-12-14,HRB,41.78,-39.79047619047619,0
2022-12-14,FSLY,9.5,-18.26923076923077,1
2022-12-14,U,32.53,-38.72619047619048,1
2022-12-14,IONQ,4.23,-35.25000000000001,1
2022-12-14,ASTS,3.96,-6.6000000000000005,1
2022-12-14,BA,188.25,-33.91891891891892,1
2022-12-14,CCL,8.93,-7.031496062992126,1
2021-08-02,NCLH,23.58,-12.154639175257731,1
2021-08-02,ZETA,6.23,-3.367567567567568,1
2021-08-02,MSTR,63.78,-20.77524429967427,1
2021-08-02,UAL,46.07,-34.38059701492537,1
2021-08-02,RCL,75.48,-14.26843100189036,1
2021-08-02,ASTS,11.28,-28.92307692307692,1
2021-08-02,FTI,7.16,-19.35135135135135,1
2021-08-02,CCL,21.46,-11.726775956284152,1
2023-05-31,ZETA,9.02,-23.73684210526316,0
2023-05-31,CLBT,5.77,-26.227272727272727,1
2023-05-31,MU,68.2,-32.01877934272301,0
2023-05-31,MSTR,30.16,7.733333333333333,1
2023-05-31,MGNI,11.88,-16.27397260273973,1
2023-05-31,ASTS,5.42,-8.603174603174603,1
2023-05-31,NRG,33.79,-5.825862068965518,1
2021-01-04,NCLH,23.73,-9.454183266932272,1
