date,symbol,price,ratio,to_buy,sma_10d,sma_50w,sma_100d,sma_200d,other_expenses,ebitdaMargin,eps,costOfRevenue,revenues,revenues_lag_days,MarkRevRatio,cost_revenue_ratio
2023-04-04,TAP,51.94,0.38,1,51.21,52.69,52.16,52.52,2800000,0.14,0.33,1575600000,2346300000,4,4.79,0.67
2023-04-04,MHK,95.54,0.71,1,96.48,112.9,105.52,108.42,566000,0.045,1.26,2162781000,2806223000,3,2.168,0.77
2021-04-06,CF,45.61,0.47,1,45.46,35.5,42.01,36.37,0,0.43,0.7,759000000,1048000000,6,9.379,0.72
2021-04-06,LYB,104.79,0.37,0,104.05,80.02,94.8,82.61,25000000,0.175,3.19,7678000000,9082000000,6,3.854,0.85
2022-10-06,NI,25.1,0.67,0,26.48,28.74,29.45,29.42,4000000,0.336,0.13,678700000,1089500000,6,9.42,0.62
2022-10-06,IPG,26.93,0.64,1,26.15,32.55,28.73,32.12,67000000,0.171,0.64,2216200000,2637700000,6,3.96,0.84
2023-11-10,NI,25.0,0.64,1,25.23,27.1,26.48,27.04,-4300000,0.43,0.19,522500000,1027400000,41,10.264,0.51
2023-11-10,IPG,28.98,0.69,1,28.86,34.52,32.35,34.06,-1600000,0.178,0.64,2219400000,2678500000,41,4.127,0.83
2023-08-15,AEE,78.76,0.76,0,81.24,85.29,85.03,85.49,82000000,0.444,0.9,972000000,1760000000,46,11.76,0.55
2023-08-15,ETR,94.62,0.71,0,97.22,106.0,102.48,105.79,-48544000,0.442,1.85,1484932000,2846026000,46,7.03,0.52
2023-08-15,QRVO,99.52,0.61,1,104.58,96.47,99.13,98.49,13716000,-0.053,-0.44,422094000,651164000,45,14.969,0.65
2023-08-15,MPC,142.62,0.45,1,142.21,118.79,121.32,116.56,269000000,0.109,5.34,32549000000,36385000000,46,1.544,0.89
2023-11-14,IPG,29.87,0.71,0,29.09,34.45,32.16,34.06,-1600000,0.178,0.64,2219400000,2678500000,45,4.253,0.83
2022-06-24,IP,42.84,0.77,0,42.8,49.11,45.98,47.92,297000000,0.123,0.71,3839000000,5237000000,85,3.007,0.73
2022-06-24,TAP,55.77,0.56,0,52.15,49.47,52.46,49.56,12600000,0.205,0.7,1286800000,2214600000,85,5.465,0.58
2022-06-24,OXY,57.52,0.54,1,58.58,41.02,56.17,43.79,659000000,0.563,4.89,4483000000,8349000000,85,7.012,0.54
2022-06-24,MPC,85.68,0.11,1,94.21,73.09,87.41,76.18,998000000,0.066,1.5,35068000000,38384000000,85,1.188,0.91
2022-06-24,LYB,89.24,0.75,0,92.72,98.54,103.45,98.6,19000000,0.154,4.02,11136000000,13157000000,85,2.204,0.85
2024-02-05,CTVA,51.8,0.68,0,47.81,53.03,48.02,51.74,-177000000,0.118,-0.36,2366000000,3707000000,36,9.787,0.64
2024-02-05,C,54.5,0.51,1,54.74,46.3,46.18,45.86,-7465000000,-0.132,-1.16,12424000000,18840000000,36,5.526,0.66
2021-03-19,C,73.01,0.58,0,73.34,53.37,60.03,54.78,60659000000,0.227,1.93,34571000000,19314000000,78,7.87,1.79
2023-02-22,CTVA,61.94,0.7,0,62.23,60.03,62.73,60.37,166000000,0.052,-0.06,2510000000,3825000000,53,11.544,0.66
2023-02-22,OKE,66.38,0.57,0,68.45,63.36,63.71,62.19,224559000,0.189,1.08,4050660000,5032031000,53,5.91,0.8
2022-07-27,UAA,8.7,0.67,1,8.58,17.38,12.44,16.77,-14241000,0.051,0.02,718860000,1349057000,27,2.93,0.53
2022-07-27,GM,34.68,0.54,1,33.86,47.5,37.82,47.12,2089000000,0.146,1.16,31350000000,35759000000,27,1.404,0.88
2022-07-27,ALB,234.29,0.61,1,216.63,227.18,215.64,226.09,8767000,0.347,3.47,899169000,1479593000,27,18.548,0.61
2021-12-02,VLO,71.17,0.78,1,69.98,71.0,70.18,73.46,32000000,0.025,1.13,28613000000,29520000000,63,0.981,0.97
2023-12-21,IPG,32.97,0.79,0,32.24,34.29,30.65,34.06,-1600000,0.178,0.64,2219400000,2678500000,82,4.695,0.83
2019-11-21,CCJ,9.62,0.75,1,9.49,10.53,9.35,10.27,7168000,0.14,-0.03,305216000,303180000,52,12.559,1.01
2019-11-21,IPG,22.25,0.62,0,22.38,21.92,21.55,21.92,-7400000,0.144,0.43,2079000000,2438100000,52,3.531,0.85
2019-11-21,DELL,27.21,0.65,0,27.89,27.52,26.5,28.32,0,0.102,0.69,15718000000,22844000000,20,0.874,0.69
2022-06-14,PHM,39.88,0.44,1,43.58,48.87,45.48,48.39,2821000,0.194,1.85,2256562000,3187615000,75,2.957,0.71
2022-06-14,IP,43.62,0.79,0,46.26,49.43,46.34,48.42,297000000,0.123,0.71,3839000000,5237000000,75,3.062,0.73
2022-06-14,TAP,51.36,0.51,1,53.16,49.42,52.2,49.36,12600000,0.205,0.7,1286800000,2214600000,75,5.033,0.58
2022-06-14,XOM,96.1,0.6,1,99.61,71.4,85.27,73.58,-7554000000,0.172,1.28,62629000000,87962000000,75,4.625,0.71
2022-06-14,VLO,133.75,0.18,0,137.84,85.79,104.12,88.81,19000000,0.035,2.22,36934000000,38542000000,75,1.402,0.96
2021-05-13,CTVA,45.92,0.74,0,47.84,36.98,44.82,38.48,337000000,0.288,0.81,2420000000,4178000000,43,8.104,0.58
2021-05-13,CF,53.57,0.55,1,52.17,37.81,45.52,39.04,0,0.43,0.7,759000000,1048000000,43,11.016,0.72
2021-05-13,GM,54.6,0.71,1,56.65,41.25,53.53,43.89,2279000000,0.23,2.06,27394000000,32474000000,43,2.44,0.84
2021-05-13,LYB,110.54,0.39,0,110.77,85.11,100.84,88.13,25000000,0.175,3.19,7678000000,9082000000,43,4.065,0.85
2021-09-27,OXY,30.19,0.47,1,27.23,23.85,27.06,25.57,578000000,0.506,-0.1,4610000000,5958000000,89,4.74,0.77
2021-09-27,WDC,59.06,0.63,1,57.52,61.47,66.74,64.52,0,0.187,2.03,3354000000,4920000000,87,3.721,0.68
2023-10-20,IPG,27.69,0.66,1,29.11,34.79,33.96,34.06,-1600000,0.178,0.64,2219400000,2678500000,20,3.943,0.83
2021-02-12,C,63.63,0.51,1,62.13,51.0,53.74,51.93,60659000000,0.227,1.93,34571000000,19314000000,43,6.859,1.79
2021-02-12,LYB,96.14,0.78,1,92.56,71.54,84.03,75.23,58000000,0.178,2.55,6712000000,7937000000,43,4.046,0.85
2022-07-26,UAA,8.25,0.63,1,8.56,17.38,12.52,16.83,-14241000,0.051,0.02,718860000,1349057000,26,2.778,0.53
2024-01-08,F,11.97,0.39,1,12.11,12.26,11.51,12.71,-1802000000,0.005,-0.13,43432000000,45962000000,8,1.041,0.94
2024-01-08,GM,36.7,0.38,1,35.98,34.61,31.88,36.57,8442000000,0.105,1.59,39670000000,42979000000,8,0.986,0.92
2024-01-08,CTVA,47.01,0.62,1,47.8,54.06,48.7,53.04,-177000000,0.118,-0.36,2366000000,3707000000,8,8.882,0.64
2024-01-08,C,54.01,0.51,1,52.54,46.06,43.88,45.21,-7465000000,-0.132,-1.16,12424000000,18840000000,8,5.477,0.66
2023-08-28,AEE,80.32,0.77,0,79.95,84.72,84.59,85.43,82000000,0.444,0.9,972000000,1760000000,59,11.993,0.55
2023-08-28,ETR,95.28,0.71,0,95.1,105.07,101.55,105.21,-48544000,0.442,1.85,1484932000,2846026000,59,7.079,0.52
2022-09-20,UAA,8.27,0.63,1,8.66,15.25,9.71,14.06,-14241000,0.051,0.02,718860000,1349057000,82,2.785,0.53
