date,symbol,price,ratio,to_buy
2021-07-30,OXY,26.1,0.4034626681094451,1
2021-07-30,WDC,64.93,0.6962704012696506,0
2024-01-17,F,11.27,0.3668261562998405,1
2024-01-17,GM,35.01,0.3628092065038292,1
2024-01-17,CTVA,44.84,0.5867481798244466,1
2024-01-17,C,51.36,0.4807053339947399,1
2019-10-15,CCJ,9.27,0.7182785860930108,0
2019-10-15,IPG,20.68,0.5759001921523851,1
2019-10-15,NI,28.14,0.7275585420905801,0
2023-01-31,CTVA,64.45,0.7278119004303633,0
2023-01-31,OKE,68.48,0.5880029537531556,0
2023-07-03,AEE,82.85,0.7943432406519652,0
2023-07-03,ETR,98.14,0.7316345852778481,0
2023-07-03,VLO,117.43,0.4833405363133091,1
2023-07-03,MPC,117.54,0.3682400045113631,1
2019-11-26,CCJ,9.31,0.7213779543177918,1
2019-11-26,IPG,22.31,0.6212927121334484,0
2019-11-26,NI,26.46,0.6841222112195008,1
2019-11-26,DELL,26.95,0.6424314660309892,0
2019-10-29,CCJ,9.1,0.7051062711376913,0
2019-10-29,IPG,22.04,0.613773705756217,1
2019-10-29,NI,27.31,0.7060989262435589,0
2022-01-07,MRO,18.24,0.4532915827928129,1
2022-01-07,NI,27.87,0.681851543768655,1
2022-01-07,OXY,33.21,0.3799988557697809,1
2022-01-07,CTVA,48.42,0.6626286734015213,1
2022-01-07,CF,69.14,0.7586214463621498,1
2022-12-02,F,13.86,0.3948043069560758,0
2022-12-02,NI,27.57,0.7322514674245039,0
2022-12-02,IPG,33.69,0.7971888975651309,1
2023-09-07,AEE,78.7,0.7545541706615531,0
2023-09-07,QRVO,98.72,0.6084887634216397,1
2023-09-07,VLO,136.25,0.5608034409664342,0
2023-09-07,MPC,150.89,0.4727219183317983,1
2023-02-28,CTVA,62.29,0.7034197560559711,0
2023-02-28,OKE,65.45,0.561985883807594,0
2021-10-04,MRO,14.83,0.6066183989855607,1
2021-10-04,OXY,31.81,0.7193902935456147,1
2021-10-04,CF,60.74,0.2447939966226972,1
2021-10-04,LMT,345.99,0.6676997657193805,1
2021-12-10,MRO,16.22,0.6634760911359266,1
2021-12-10,OXY,30.77,0.6958704599936675,1
2021-12-10,CF,61.17,0.2465269801351726,1
2021-12-10,VLO,70.85,0.7736574286400664,1
2021-12-10,LMT,344.88,0.6655576612078381,1
2023-07-05,QRVO,97.59,0.6015236874221822,1
2023-07-05,ETR,99.16,0.7392386944788203,0
2023-07-05,MPC,116.21,0.3640732595224221,1
2023-07-05,VLO,116.75,0.4805416640941739,1
2022-06-02,PHM,45.51,0.5043609322531667,0
2022-06-02,TAP,53.98,0.541001022269438,0
2022-06-02,OXY,69.3,0.6558835499105613,0
2022-06-02,CF,97.51,0.6229397183962385,1
2022-06-02,XOM,97.67,0.6083652558472703,1
2022-06-02,MPC,104.27,0.1363380797343061,1
2022-06-02,VLO,133.62,0.1764983270832865,0
2023-06-30,AEE,81.67,0.7830297219558963,0
2023-06-30,ETR,97.37,0.7258942283320162,0
2023-06-30,MPC,116.6,0.3652950870003822,1
2023-06-30,VLO,117.3,0.4828054578008274,1
2021-02-04,NI,22.76,0.5126357043110051,1
2021-02-04,C,62.41,0.4974295620292512,1
2021-02-04,LYB,90.9,0.73573452043707,1
2021-07-20,OXY,25.37,0.3921780800742001,1
2021-07-20,WDC,64.64,0.6931606150942585,0
2023-01-18,CTVA,61.51,0.6946114816985515,0
2023-01-18,OKE,68.65,0.5894626573474611,0
2022-05-20,PHM,42.74,0.4736626289716622,0
2022-05-20,TAP,51.23,0.5134398364368898,1
2022-05-20,OXY,63.26,0.5987185190092656,1
2022-05-20,LEN,74.44,0.5355434211756919,1
2022-05-20,XOM,91.86,0.5721760254134355,1
2022-05-20,CF,95.79,0.6119515498428437,1
2022-05-20,MPC,96.56,0.1262568809738621,1
2022-05-20,VLO,122.98,0.1624439774337867,1
2023-12-15,IPG,32.85,0.7855281092326455,0
2019-11-13,IPG,22.14,0.6165585229329694,1
2019-11-13,NI,26.4,0.6825709136883908,1
2019-11-13,DELL,27.75,0.6615017878426698,0
2023-03-14,CTVA,58.92,0.665363493768146,0
2023-03-14,OKE,64.38,0.5527983376552008,0
2023-05-01,DAL,34.72,0.165028423674354,1
2023-05-01,TAP,60.45,0.4378657935910066,1
2023-05-01,MHK,103.32,0.7711138310893512,0
2023-11-27,IPG,30.35,0.7257466701738445,0
2019-12-16,CCJ,8.92,0.6911591141261765,1
2019-12-16,IPG,22.89,0.637444651758612,0
2019-12-16,DELL,25.07,0.5976162097735399,0
2019-12-16,NI,27.17,0.7024792320043022,0
2019-12-18,CCJ,8.76,0.6787616412270522,1
2019-12-18,IPG,22.5,0.6265838647692779,0
2019-12-18,DELL,25.33,0.603814064362336,0
2019-12-18,NI,27.55,0.7123041163679988,0
2023-01-24,CTVA,62.51,0.7059041411311405,0
2023-01-24,OKE,69.51,0.5968470402363004,0
2023-09-13,AEE,80.1,0.7679769894534993,0
2023-09-13,QRVO,94.34,0.5814913891936538,1
2023-09-13,ETR,97.09,0.7238068258062592,0
2023-09-13,VLO,145.48,0.5987940153526374,0
2019-10-28,CCJ,9.12,0.7066559552500817,0
2019-10-28,IPG,22.17,0.6173939680859951,1
2019-10-28,NI,27.45,0.7097186204828154,0
2023-10-11,IPG,29.14,0.6968124536693848,1
2022-01-31,MRO,19.47,0.4838589428166703,1
2022-01-31,NI,29.18,0.7139012575231197,0
2022-01-31,OXY,37.67,0.4310315235425368,1
2022-01-31,CTVA,48.08,0.6579757665664012,1
2022-01-31,CF,68.87,0.7556589385444209,1
2024-02-27,F,12.0,0.3905868567522702,1
2024-02-27,GM,40.18,0.4163860016373567,1
2024-02-27,CTVA,55.13,0.7213966805022689,0
2024-02-27,C,55.71,0.5214192787548084,1
2024-01-12,F,11.46,0.3730104481984181,1
2024-01-12,GM,35.26,0.3653999606205374,1
2024-01-12,CTVA,46.11,0.603366605078172,1
2024-01-12,C,52.62,0.4924983386838631,1
2023-09-14,AEE,81.04,0.7769894534995204,0
2023-09-14,QRVO,96.1,0.5923396491574107,1
2023-09-14,ETR,98.75,0.7361821407803902,0
2023-09-14,VLO,145.95,0.6007285299746867,0
2021-01-08,NI,21.81,0.4912383440695527,1
2021-01-08,DELL,39.12,0.5126256339024805,1
2021-01-08,XOM,45.46,0.7690537897806862,1
2021-01-08,C,65.37,0.5210217989080621,1
2021-01-08,LYB,96.75,0.7830837717523269,1
2022-07-25,UAA,8.73,0.6684686478249885,1
2022-07-25,GM,34.52,0.5344894325307734,1
2022-07-25,ALB,227.57,0.5893778860921115,1
2021-06-02,CF,54.51,0.5615882304458913,1
2021-06-02,LYB,115.87,0.4087341481912623,0
2022-10-18,F,12.03,0.3426764655614424,1
2022-10-18,IPG,29.3,0.6933106173540616,1
2022-02-22,MRO,21.6,0.5367926638335943,1
2022-02-22,NI,28.36,0.6938396046386456,1
2022-02-22,OXY,38.32,0.4384690199668173,1
2022-02-22,CTVA,50.67,0.6934199686339341,1
2022-02-22,DE,353.78,0.7993276050221758,1
2021-06-14,CF,52.69,0.5428377153218494,1
2021-06-14,GM,60.79,0.7937689334586858,0
2021-06-14,LYB,108.52,0.3828068504506411,0
2021-02-03,NI,22.26,0.5013739357628724,1
2021-02-03,C,61.1,0.486988403140318,1
