date,symbol,price,evebitda,future_eps,to_buy
2023-08-16,CTVA,50.01,22.860529341317367,-0.2404,0
2023-08-16,HRB,38.78,15.657615456112842,-1.1225,1
2021-03-25,ALK,67.75,-24.70256581632653,-3.63086,0
2021-03-25,UAL,56.05,-24.42554794520548,-7.08324,0
2021-03-25,FTI,7.67,29.836467615985303,-0.073068,1
2021-03-25,BA,247.19,-27.230198423867197,-1.04877,0
2021-03-25,AAL,22.77,-28.56573019764957,-4.30477,0
2021-03-25,AIV,5.83,-21.025156880861672,-0.006455,1
2021-03-25,TAP,50.1,-17.284612490594434,-0.096826,1
2021-03-25,HRB,20.55,-28.24656250676285,-1.41,1
2023-09-26,CTVA,50.79,23.19139880239521,-0.2404,0
2023-09-26,CCL,13.76,20.869858407079647,-0.12647,0
2022-01-21,FSLR,76.82,28.87401205011037,-0.42766,0
2022-01-21,CCL,19.99,-28.603209219858154,-1.27562,1
2023-08-29,CTVA,51.31,23.41197844311377,-0.2404,0
2023-10-09,PNW,73.04,24.6793327694438,-0.13126,0
2023-10-09,NCLH,16.65,27.10803753268769,-0.11794,0
2023-10-09,CCL,12.69,20.27188938053097,-0.12647,1
2023-10-09,VST,31.85,16.22633182817109,-0.039503,1
2023-02-15,UAL,49.91,20.721278509313947,-0.73409,0
2021-09-09,HRB,25.24,11.52107199451958,-1.02714,0
2021-09-09,CCL,23.28,-28.10079132791328,-1.44433,1
2022-01-26,FSLR,76.37,28.67516638534385,-0.42766,0
2022-01-26,HIMS,4.47,-28.35265666148964,-0.083144,1
2022-01-26,ZETA,7.78,-29.87631271251275,-0.010279,1
2022-01-26,CCL,20.29,-28.80480496453901,-1.27562,1
2021-12-28,RKLB,11.73,-23.899346938047625,-0.05,0
2021-12-28,UAL,45.27,21.29717923958962,-2.09109,1
2021-12-28,CCL,20.9,-29.214716312056737,-1.27562,1
2024-06-27,IONQ,7.1,-29.80687434843932,-0.22,1
2022-09-02,UBER,29.05,-29.54612634728611,-0.17511,1
2022-09-02,COIN,65.26,-11.886105809233916,-2.37683,1
2022-09-02,MU,56.33,17.429224137931033,-0.019823,0
2022-09-02,HRB,44.47,23.41779050420289,-1.085,0
2022-02-04,FSLR,71.0,26.30227473581484,-0.42766,1
2022-02-04,HIMS,4.44,-28.147346410966303,-0.083144,1
2022-02-04,CCL,19.96,-28.58304964539007,-1.27562,1
2023-11-10,PNW,70.46,24.28668640592808,-0.13126,0
2023-11-10,NCLH,13.18,25.134437371989925,-0.11794,1
2023-11-10,CCL,12.76,20.31100884955752,-0.12647,1
2023-11-10,VST,34.48,16.907992559734513,-0.039503,1
2023-08-25,CTVA,49.94,22.830835928143717,-0.2404,0
2021-10-05,UAL,50.88,22.3934484007242,-2.09109,0
2021-10-05,CCL,25.42,-29.41378861788618,-1.44433,0
2021-06-23,HRB,24.42,4.8579679822446655,-1.02714,0
2021-06-23,OXY,30.96,21.926595041322315,0.00899,0
2022-10-05,COIN,72.97,-26.981707039196092,-2.52449,0
2022-10-05,LUV,32.99,25.249095674967236,-0.069839,1
2022-10-05,PNW,65.29,24.61252808513453,-0.18018,1
2022-10-05,ZETA,7.41,-27.22193731534278,-0.38429,1
2022-10-05,AIV,7.51,15.88266003551819,0.007531,1
2022-10-05,MU,54.73,16.928074712643678,-0.019823,1
2021-05-14,F,11.84,29.138424557414325,-0.035545,1
2021-05-14,HRB,24.55,4.878907397319769,-1.02714,0
2021-05-14,OXY,25.1,20.04146694214876,0.00899,1
2021-02-12,ALK,57.56,-22.117653959183677,-3.63086,1
2021-02-12,UAL,43.935,-22.03724844333749,-7.08324,1
2021-02-12,AAL,17.27,-26.701227259615383,-4.30477,1
2021-02-12,AIV,4.9,-19.272318343479856,-0.006455,1
2021-02-12,TAP,44.01,-16.041638449962377,-0.096826,1
2021-02-12,HRB,19.6,-27.46618298917944,-1.41,1
2024-03-27,UAL,47.24,24.487475862068965,-0.54184,1
2024-03-27,AIV,8.12,-17.925702721147132,-0.09,0
2021-11-09,UAL,52.81,22.77059625829813,-2.09109,0
2021-11-09,CCL,24.17,-28.646850948509485,-1.44433,0
2022-04-18,UBER,31.79,-12.00073019187554,-0.26835,0
2021-01-15,ALK,53.65,-21.125798673469387,-3.63086,1
2021-01-15,UAL,43.89,-22.02837733499377,-7.08324,1
2021-01-15,AAL,15.76,-26.18933645299145,-4.30477,1
2021-01-15,CCJ,12.96,26.481959446097992,-0.09760312,1
2021-01-15,TAP,52.54,-17.782618510158013,-0.096826,0
2021-01-15,HRB,16.5,-28.653292462299618,-1.41,1
2024-07-01,CTVA,53.07,21.089245623342176,-0.30302,0
2024-07-01,HRB,54.73,20.35007145485616,-1.2075,1
2023-09-12,CTVA,51.63,23.54771976047904,-0.2404,0
2023-09-12,HRB,39.19,15.79945241862434,-1.1225,1
2023-09-12,CCL,15.46,21.819902654867256,-0.12647,0
2022-03-17,FSLR,78.22,29.492643024380847,-0.42766,0
2022-03-09,FSLR,78.89,29.78870213149154,-0.42766,0
2023-01-31,COIN,58.48,-26.958943393966106,-1.44868,1
2023-01-31,UAL,48.96,20.5799654702408,-0.73409,0
2023-08-15,CTVA,50.65,23.132011976047902,-0.2404,0
2023-08-15,HRB,35.35,14.471028184370292,-1.1225,1
2023-07-14,CTVA,54.25,24.659101796407185,-0.2404,0
2023-07-14,HRB,32.55,13.502385513560048,-1.1225,1
2021-03-19,ALK,70.78,-25.47119024489796,-3.63086,0
2021-03-19,UAL,60.77,-25.356028642590285,-7.08324,0
2021-03-19,BA,255.82,-27.915637732208463,-1.04877,0
2021-03-19,AAL,24.97,-29.311531372863247,-4.30477,0
2021-03-19,AIV,5.54,-20.47857282081788,-0.006455,1
2021-03-19,TAP,49.2,-17.10092174567344,-0.096826,1
2021-03-19,HRB,21.38,-28.92836776825969,-1.41,1
2023-12-14,PNW,74.71,24.933487583929956,-0.13126,0
2023-12-14,NCLH,20.35,29.21245268908057,-0.11794,0
2023-12-14,VST,37.49,17.68814419542773,-0.039503,1
2024-08-20,HRB,66.6,24.524350101070183,-1.2075,0
2021-03-05,ALK,64.89,-23.977065530612244,-3.63086,1
2021-03-05,UAL,50.52,-23.335387297633872,-7.08324,1
2021-03-05,AAL,20.45,-27.779248958333334,-4.30477,1
2021-03-05,AIV,4.82,-19.1215365338126,-0.006455,1
2021-03-05,TAP,46.16,-16.480455229495863,-0.096826,1
2021-03-05,HRB,19.91,-27.72083314697926,-1.41,1
2022-03-11,FSLR,75.39,28.24212470628641,-0.42766,1
2022-03-11,HIMS,4.47,-28.35265666148964,-0.083144,1
2022-06-08,UBER,25.83,-9.97700472255834,-0.26835,1
2022-06-08,COIN,69.2,-23.10593421021781,-2.47179,1
2022-03-15,FSLR,74.96,28.052116618429924,-0.42766,1
2022-03-15,HIMS,4.34,-27.462978897967453,-0.083144,1
2022-11-11,COIN,57.46,-20.66163929241452,-2.52449,0
2022-11-11,LUV,38.36,29.429672346002626,-0.069839,0
2022-11-11,PNW,71.64,25.71923129106244,-0.18018,1
2022-11-11,AIV,7.74,16.16137722599671,0.007531,0
2022-11-11,MU,62.52,19.36804597701149,-0.019823,0
2023-06-29,PFE,36.12,29.43151950464396,-0.079838,0
2021-04-07,F,12.73,29.715471820691896,-0.035545,1
2021-04-07,OXY,25.3,20.10580578512397,0.00899,1
2023-03-29,VFC,21.75,26.883879088351783,-0.11528,0
2021-09-01,CTVA,44.38,17.61781980973699,-0.31299,0
2021-09-01,HRB,26.23,12.184737515667758,-1.02714,0
2021-09-01,CCL,23.51,-28.24190785907859,-1.44433,1
2024-01-26,BMY,49.7,29.31576465304289,-4.41226,0
