date,symbol,price,est_eps_growth,to_buy
2019-12-31,PFE,37.14,0.2712612518680708,0
2019-12-31,DELL,26.03,0.2645269098590661,0
2019-12-31,PGR,72.39,0.3735929962479901,1
2019-12-31,PRU,93.74,0.3806750068396052,0
2023-11-15,LEN,126.85,0.304753434077644,1
2023-11-15,NRG,47.51,0.9490404640600548,1
2023-11-15,PFE,30.19,0.982013577494426,0
2022-02-23,GM,46.38,0.4226441389514977,0
2022-02-23,MRK,75.84,0.1960531229729994,1
2022-02-23,COP,88.23,0.4506679358744948,1
2021-04-19,AIG,46.73,0.2463425753242985,1
2021-04-19,CVS,75.75,0.1969386218004425,1
2021-04-19,UPS,178.06,0.6176606271696633,1
2021-04-19,HPQ,33.7,0.3441458327035281,0
2021-10-28,AIG,59.9,0.346776660962979,0
2021-10-28,XOM,64.31,0.2467184019821172,0
2021-10-28,CB,196.09,0.5249349060887132,0
2021-10-28,COP,75.15,0.4375024670078814,0
2021-10-28,F,16.86,0.6656512370904228,1
2024-04-11,UBER,76.18,0.4180547360777016,0
2023-06-20,CMCSA,40.64,0.1922049214176403,1
2023-06-20,NUE,149.52,0.4311069062408718,1
2023-06-20,DAL,42.48,7.077099031216362,1
2023-06-20,F,14.22,0.3049331666506393,0
2021-05-06,AIG,50.17,0.2463425753242985,0
2021-05-06,TGT,213.0,0.5889509418921183,1
2021-05-06,UPS,214.78,0.6176606271696633,0
2021-05-06,DELL,50.54,0.2681764599484815,0
2023-08-10,MPC,145.28,0.7008075246011776,1
2023-08-10,VLO,134.86,0.4817620289309048,0
2023-08-10,DHI,123.45,0.3953739731949848,0
2023-12-05,NRG,48.26,0.9490404640600548,1
2023-12-05,PFE,29.09,0.982013577494426,0
2023-12-05,DELL,69.29,0.178555084253738,1
2022-07-21,TMUS,133.19,0.4029271896209428,1
2022-07-21,KR,46.28,1.930689505182163,1
2022-07-21,UAL,37.44,0.2281102761215753,0
2024-02-02,PRU,103.21,0.2007669257528616,1
2024-08-06,NRG,71.19,0.2582423976003309,1
2021-06-23,AIG,47.73,0.2463425753242985,0
2021-06-23,PFE,39.05,0.2508345255126371,1
2021-06-23,DELL,50.26,0.2681764599484815,0
2022-01-03,MPC,65.66,1.306706402896113,1
2022-01-03,GM,61.17,0.4226441389514977,0
2022-01-03,COP,73.77,0.4506679358744948,1
2021-02-08,CI,206.05,0.1887173128638513,1
2021-02-08,C,63.65,0.9345415000037242,1
2021-02-08,XOM,52.1,75.74525884161967,1
2021-02-08,CNC,58.24,2.193588162762022,1
2021-02-08,HPQ,27.3,0.3441458327035281,1
2021-02-08,DOW,57.35,0.707749264782719,1
2023-02-08,C,51.15,0.4407489314091413,0
2023-02-08,CAH,79.92,0.3027600105143257,0
2023-10-13,LEN,109.3,0.304753434077644,1
2023-10-13,NRG,41.01,0.9490404640600548,1
2023-10-13,PFE,32.11,0.982013577494426,0
2023-01-18,C,49.43,0.4407489314091413,0
2023-01-18,CAH,76.47,0.3027600105143257,0
2022-02-11,GM,48.83,0.4226441389514977,0
2022-02-11,MRK,76.64,0.1960531229729994,1
2022-02-11,COP,93.52,0.4506679358744948,0
2022-06-06,NUE,129.47,0.2131197669376091,0
2022-06-06,COP,117.38,0.2175724957726572,0
2022-06-06,LYB,109.83,0.3397881005952551,0
2022-02-03,GM,53.11,0.4226441389514977,0
2022-02-03,COP,90.87,0.4506679358744948,1
2021-11-29,AIG,54.95,0.346776660962979,1
2021-11-29,XOM,61.59,0.2467184019821172,1
2021-11-29,COP,72.15,0.4375024670078814,0
2021-11-29,CVX,114.85,0.4189164646161948,1
2021-11-29,F,19.67,0.6656512370904228,0
2021-12-30,PFE,58.4,0.7082227509838015,0
2021-12-30,COP,72.28,0.4506679358744948,1
2022-08-22,TMUS,144.58,0.4029271896209428,0
2022-08-22,KR,50.12,1.930689505182163,0
2022-08-22,UAL,36.36,0.2281102761215753,0
2023-09-27,LEN,111.7,0.304753434077644,0
2023-09-27,PSX,120.8,0.3372238224471787,0
2023-09-27,VLO,143.95,0.4817620289309048,0
2023-09-27,DHI,107.01,0.3953739731949848,1
2021-10-15,AIG,58.28,0.346776660962979,0
2021-10-15,XOM,62.59,0.2467184019821172,0
2021-10-15,COP,74.14,0.4375024670078814,0
2021-10-15,F,15.7,0.6656512370904228,1
2021-09-07,XOM,54.55,0.5432995205452313,1
2021-09-07,NUE,114.76,0.4962198106981446,0
2021-09-07,COP,55.98,0.3817596742084738,1
2021-04-29,AIG,48.94,0.2463425753242985,0
2021-04-29,CVS,76.37,0.1969386218004425,1
2021-04-29,HPQ,34.7,0.3441458327035281,0
2021-04-29,ORCL,75.87,0.1783542216656005,1
2022-05-11,NUE,125.97,0.2131197669376091,0
2022-05-11,COP,99.04,0.2175724957726572,0
2022-05-11,FDX,207.2,0.4763291857635455,1
2022-05-11,CVX,163.16,0.4989530723131066,0
2022-05-11,LYB,107.4,0.3397881005952551,0
2021-06-22,AIG,47.55,0.2463425753242985,0
2021-06-22,PFE,39.61,0.2508345255126371,1
2021-06-22,UPS,205.4,0.6176606271696633,0
2021-06-22,DELL,50.54,0.2681764599484815,0
2023-08-11,MPC,149.75,0.7008075246011776,0
2023-08-11,VLO,139.06,0.4817620289309048,0
2023-08-11,DHI,123.01,0.3953739731949848,0
2021-10-18,AIG,57.89,0.346776660962979,0
2021-10-18,XOM,62.56,0.2467184019821172,0
2021-10-18,COP,74.5,0.4375024670078814,0
2021-10-18,F,15.56,0.6656512370904228,1
2023-11-01,LEN,111.22,0.304753434077644,1
2023-11-01,NRG,43.86,0.9490404640600548,1
2023-11-01,PFE,30.51,0.982013577494426,0
2022-08-08,TMUS,144.58,0.4029271896209428,0
2022-08-08,UAL,38.65,0.2281102761215753,0
2023-05-09,NUE,140.17,0.4311069062408718,0
2023-05-09,DAL,34.2,7.077099031216362,1
2023-05-09,F,11.86,0.3049331666506393,1
2021-11-22,AIG,56.94,0.346776660962979,0
2021-11-22,XOM,61.51,0.2467184019821172,1
2021-11-22,COP,71.89,0.4375024670078814,0
2021-11-22,CVX,113.91,0.4189164646161948,1
2021-11-22,F,20.48,0.6656512370904228,0
2021-01-25,BMY,64.83,0.2750556242274413,0
2021-01-25,CI,220.09,0.1887173128638513,0
2021-01-25,C,60.56,0.9345415000037242,1
2021-01-25,XOM,46.9,75.74525884161967,1
2021-01-25,HPQ,25.02,0.2663999540590722,1
2021-01-25,MRK,77.38,0.1624405465176164,0
2021-01-25,DOW,57.23,0.707749264782719,0
2021-01-25,DELL,38.34,0.5415303609823944,1
2021-01-25,GS,283.04,0.3723780565567883,1
2021-10-21,AIG,59.26,0.346776660962979,0
2021-10-21,XOM,62.69,0.2467184019821172,0
2021-10-21,COP,74.59,0.4375024670078814,0
2021-10-21,F,16.55,0.6656512370904228,0
2022-03-10,GM,41.85,0.4226441389514977,0
2022-03-10,COP,99.72,0.4506679358744948,0
2022-08-11,TMUS,143.61,0.4029271896209428,0
2022-08-11,UAL,38.67,0.2281102761215753,0
2021-12-06,AIG,54.77,0.346776660962979,1
2021-12-06,XOM,61.58,0.2467184019821172,1
2021-12-06,COP,72.81,0.4375024670078814,0
2021-12-06,CVX,116.2,0.4189164646161948,1
2021-12-06,F,19.22,0.6656512370904228,0
2024-04-04,UBER,74.92,0.4180547360777016,0
2022-02-25,GM,47.43,0.4226441389514977,0
2022-02-25,MRK,76.32,0.1960531229729994,1
2022-02-25,COP,91.27,0.4506679358744948,1
2022-06-01,NUE,130.71,0.2131197669376091,0
2022-06-01,COP,115.75,0.2175724957726572,0
2022-06-01,LYB,114.31,0.3397881005952551,0
2021-07-26,NUE,97.76,0.4962198106981446,1
2021-07-26,TSN,71.25,0.3761950286806882,1
2021-07-26,COP,56.87,0.3817596742084738,0
2021-07-26,DELL,48.86,0.2681764599484815,1
