iter	Logloss
148	0.4089288215
149	0.4084670977
150	0.407667338
151	0.4069535389
152	0.4060856449
153	0.4054170281
154	0.4048004212
155	0.4039735549
156	0.4032291196
157	0.4025015685
158	0.4014239321
159	0.4003281664
160	0.399300568
161	0.3987509649
162	0.3980568279
163	0.3974633161
164	0.3964160463
165	0.3953639492
166	0.3944658409
167	0.3935108007
168	0.3922205535
169	0.3915734951
170	0.3906689538
171	0.3898864517
172	0.3893237044
173	0.388541957
174	0.3875182467
175	0.386650534
176	0.3856907537
177	0.385310417
178	0.3840421318
179	0.3835664512
180	0.3825366226
181	0.3820661103
182	0.381663087
183	0.380714945
184	0.3797038592
185	0.3790401021
186	0.3784166633
187	0.3774637759
188	0.3766314199
189	0.3761111242
190	0.3755754405
191	0.374873628
192	0.3743991404
193	0.3733174193
194	0.3725177779
195	0.3716833161
196	0.3712584366
197	0.3703457971
198	0.3693950222
199	0.3687773235
200	0.3682885061
201	0.3670954327
202	0.3662981715
203	0.3654616219
204	0.3648760936
205	0.3641594659
206	0.3634442836
207	0.3625837211
208	0.3620550066
209	0.3608841948
210	0.3604655876
211	0.3599328675
212	0.3596779365
213	0.3589390289
214	0.3582218173
215	0.3575432974
216	0.357080516
217	0.3565366263
218	0.3561105038
219	0.3554972646
220	0.3551410428
221	0.3544693287
222	0.3537732371
223	0.3534778854
224	0.3530560928
225	0.3522816325
226	0.3515980251
227	0.3512549046
228	0.3506679632
229	0.3501082566
230	0.3495806631
231	0.3487968406
232	0.3485286258
233	0.3477160879
234	0.3470674894
235	0.3462349856
236	0.345652365
237	0.3450320411
238	0.3443048357
239	0.343919308
240	0.3434077725
241	0.3431207382
242	0.3424736508
243	0.3420121098
244	0.3412062205
245	0.3405819906
246	0.3397709437
247	0.3393413004
248	0.3389501777
249	0.3384993542
250	0.3379574338
251	0.3375899343
252	0.336794592
253	0.3364133116
254	0.3361303807
255	0.3356333738
256	0.3351649319
257	0.3344286564
258	0.3338232058
259	0.3329187386
260	0.3323121742
261	0.3317084277
262	0.3309116363
263	0.330557202
264	0.3300503764
265	0.329363283
266	0.3288823362
267	0.3283432305
268	0.3278208515
269	0.3275068401
270	0.3270597051
271	0.3267643696
272	0.3261858305
273	0.3255374363
274	0.3250749046
275	0.3244403814
276	0.3237631201
277	0.323255929
278	0.3225385091
279	0.3221283722
280	0.3216053205
281	0.3212805282
282	0.3207183954
283	0.3199283816
284	0.3192368206
285	0.318887438
286	0.318432304
287	0.3177255527
288	0.3173463045
289	0.3167688669
290	0.3164189082
291	0.315580563
292	0.3152794942
293	0.314971509
294	0.3146058826
295	0.3139841754
296	0.3134315786
297	0.3130363302
298	0.3122818654
299	0.3120331938
300	0.3114858507
301	0.3111014167
302	0.3106348722
303	0.3097285399
304	0.3092008473
305	0.3085584281
306	0.3080094173
307	0.3072872112
308	0.3069166537
309	0.3063662733
310	0.3059583385
311	0.3056063911
312	0.3052020048
313	0.3046522669
314	0.3042674649
315	0.3039155883
316	0.3034169001
317	0.3030127568
318	0.3027906584
319	0.302225838
320	0.3015743946
321	0.3011178451
322	0.3007864712
323	0.3004769382
324	0.2999224428
325	0.2993917233
326	0.2989846273
327	0.2986335886
328	0.2983433222
329	0.2979982152
330	0.2976044342
331	0.297053985
332	0.2963228662
333	0.2957744111
334	0.2953086575
335	0.2949162231
336	0.294371225
337	0.2939482861
338	0.2936737602
339	0.2931232114
340	0.2928102214
341	0.2925529599
342	0.2919637174
343	0.2914782499
344	0.2908477558
345	0.2905083122
346	0.2899638185
347	0.2896172314
348	0.2892786207
349	0.288921643
350	0.2886056097
351	0.288202216
352	0.2877043794
353	0.287402548
354	0.2869467902
355	0.2863468369
356	0.2858968973
357	0.2854584351
358	0.2848939673
359	0.2845378888
360	0.2841915652
361	0.2838335502
362	0.2835105015
363	0.2828314228
364	0.2820213211
365	0.2815982491
366	0.2813417374
367	0.2809676226
368	0.2806594623
369	0.2801548218
370	0.2797527186
371	0.2792299444
372	0.2789477116
373	0.2784934565
374	0.2779373336
375	0.2776476362
376	0.2771790338
377	0.2767157759
378	0.2765030052
379	0.2760205676
380	0.275456323
381	0.2750833067
382	0.274721317
383	0.2742903103
384	0.2738610461
385	0.2732408319
386	0.2728512701
387	0.2724461666
388	0.2721068662
389	0.2718219082
390	0.2715422803
391	0.2711010901
392	0.2706330814
393	0.270271764
394	0.269856909
395	0.2695512899
396	0.2691264341
397	0.2688501614
398	0.2685947911
399	0.2678211558
400	0.267294383
401	0.2668736564
402	0.2666008707
403	0.2661882022
404	0.2658671107
405	0.2655834168
406	0.2651186206
407	0.2647953847
408	0.2644464947
409	0.2640793507
410	0.2635747027
411	0.2633003567
412	0.2625949921
413	0.2622495133
414	0.2617793769
415	0.261053242
416	0.2607369272
417	0.2603011976
418	0.2597808869
419	0.2592129772
420	0.258778059
421	0.2584301533
422	0.25801088
423	0.257658726
424	0.2573001165
425	0.2569777416
426	0.2567151324
427	0.2564894101
428	0.2562267828
429	0.2559256904
430	0.2555620317
431	0.2549266161
432	0.2545405919
433	0.2541973547
434	0.2539117633
435	0.2535785966
436	0.2533842513
437	0.2530632571
438	0.2527635251
439	0.2525505219
440	0.2521191192
441	0.2516744023
442	0.2512301267
443	0.2509945582
444	0.2504936103
445	0.2501407284
446	0.249556498
447	0.2490348437
448	0.2486566241
449	0.2481347451
450	0.2477718644
451	0.2474325623
452	0.2470938726
453	0.2468570438
454	0.2465623191
455	0.2462587338
456	0.2458803288
457	0.245559191
458	0.2450465308
459	0.2447238466
460	0.2442316272
461	0.2439056988
462	0.2432703474
463	0.2427585386
464	0.2424555852
465	0.2420505967
466	0.2417939777
467	0.2413350969
468	0.2408124932
469	0.240611103
470	0.2402097071
471	0.2398778331
472	0.2394471223
473	0.2391884131
474	0.2390071468
475	0.2388177732
476	0.2385711934
477	0.238341037
478	0.238028537
479	0.2378273201
480	0.237621633
481	0.2374026018
482	0.237052177
483	0.2366746505
484	0.2362479397
485	0.2360139413
486	0.2355529355
487	0.2351610224
488	0.2349746187
489	0.2348004983
490	0.2343426186
491	0.2341489034
492	0.2337301382
493	0.2333512443
494	0.2331031337
495	0.2328800026
496	0.2323963977
497	0.2320632648
498	0.2318313595
499	0.2313403581
500	0.2311170769
501	0.2307185902
502	0.2303599019
503	0.2301609689
504	0.2297828474
505	0.2295437225
506	0.2291181637
507	0.2287374943
508	0.2281968356
509	0.2279229304
510	0.2275913763
511	0.2273976889
512	0.2271288316
513	0.2266901198
514	0.2264553697
515	0.2262191076
516	0.2260879985
517	0.2259073499
518	0.2256851974
519	0.2254754879
520	0.2251866392
521	0.22482649
522	0.2246286812
523	0.2242641599
524	0.2238232584
525	0.2234010948
526	0.2229294686
527	0.2225811642
528	0.2223399605
529	0.2218725088
530	0.2216629039
531	0.2212408996
532	0.2210058202
533	0.2206206679
534	0.2202731332
535	0.2198643972
536	0.2193800406
537	0.219182776
538	0.2189351589
539	0.2187193936
540	0.2183100482
541	0.2177247751
542	0.217385523
543	0.2171386638
544	0.2168179427
545	0.2165569962
546	0.2163047427
547	0.2160648057
548	0.2157161115
549	0.215536141
550	0.2151529103
551	0.214902264
552	0.2146228439
553	0.2142435176
554	0.2139824215
555	0.2137825166
556	0.2135668912
557	0.2133097796
558	0.2130695836
559	0.2128638981
560	0.2126786889
561	0.2123957248
562	0.2122362264
563	0.2119861229
564	0.2117644345
565	0.2113946405
566	0.2112448324
567	0.2107677434
568	0.2104533852
569	0.2101960269
570	0.2098961577
571	0.2096266582
572	0.2093750388
573	0.2091462088
574	0.2087424164
575	0.2085113254
576	0.208294749
577	0.2080419594
578	0.2078363843
579	0.2076583003
580	0.2073390076
581	0.2070025414
582	0.2066915846
583	0.2063974799
584	0.206095798
585	0.2058673938
586	0.2056343069
587	0.2054974897
588	0.2053211507
589	0.2049448502
590	0.2046822365
591	0.2045004473
592	0.2043076485
593	0.2041196229
594	0.2039045456
595	0.2036102089
596	0.203309664
597	0.2029953418
598	0.2028366394
599	0.2025277497
600	0.2022225367
601	0.2020432874
602	0.2018727443
603	0.2016705408
604	0.2013778126
605	0.2011771023
606	0.2009219841
607	0.2007428553
608	0.2004210519
609	0.2000994437
610	0.199852001
611	0.1995812662
612	0.1993838896
613	0.1992061719
614	0.1988919484
615	0.1986656058
616	0.1983630816
617	0.198123049
618	0.1978958008
619	0.1977045002
620	0.1973661546
621	0.1971512489
622	0.196963257
623	0.1967187812
624	0.1964857601
625	0.1963587301
626	0.1961769727
627	0.1959601953
628	0.1957061654
629	0.1954928946
630	0.195317987
631	0.1950491486
632	0.1948077024
633	0.1946103488
634	0.1942575961
635	0.1939033669
636	0.1935258054
637	0.1932756391
638	0.1930786458
639	0.1928918518
640	0.1926870498
641	0.192509039
642	0.1922764841
643	0.1920523557
644	0.1917093186
645	0.1915125743
646	0.191273703
647	0.1910012808
648	0.1908106808
649	0.190615743
650	0.1902479727
651	0.1900708173
652	0.1898797064
653	0.1896948249
654	0.1894957915
655	0.1892319526
656	0.1891115413
657	0.1889538547
658	0.1888109872
659	0.1886161007
660	0.1884516754
661	0.188299023
662	0.1881291002
663	0.1879287245
664	0.1876228378
665	0.1874566592
666	0.1872728514
667	0.1870485945
668	0.1869614618
669	0.1867907243
670	0.1865885197
671	0.1864597282
672	0.1863357483
673	0.1861170388
674	0.1859142091
675	0.1857922586
676	0.1856835284
677	0.1856052506
678	0.1854293847
679	0.1852405182
680	0.1850810973
681	0.1848509125
682	0.1845764808
683	0.1844662607
684	0.1841199006
685	0.1838075363
686	0.1836711489
687	0.1834752305
688	0.1832669979
689	0.183012393
690	0.1828738505
691	0.1827433975
692	0.1826350311
693	0.182455969
694	0.1822587389
695	0.1820770169
696	0.1818861909
697	0.1816598385
698	0.1814927419
699	0.1814140672
700	0.1811909877
701	0.1810543525
702	0.1808045629
703	0.1806481195
704	0.180535344
705	0.1803188962
706	0.1801379837
707	0.1801141917
708	0.1798566142
709	0.1795830077
710	0.1794496439
711	0.179110109
712	0.1789483726
713	0.1787746829
714	0.1786284454
715	0.1783623335
716	0.1782184038
717	0.1780353719
718	0.1778455269
719	0.1776887369
720	0.1775615743
721	0.1774531349
722	0.1773338599
723	0.1771636307
724	0.1768966525
725	0.1767692601
726	0.1766591801
727	0.176526568
728	0.1761151499
729	0.1757940375
730	0.1754371726
731	0.1752708594
732	0.1750035031
733	0.1747267523
734	0.1745829014
735	0.1744557816
736	0.1743805078
737	0.1740979524
738	0.1738496608
739	0.1736732106
740	0.173588244
741	0.173380892
742	0.1730738549
743	0.1729010047
744	0.1726473078
745	0.1725425397
746	0.1723238874
747	0.1720453145
748	0.1718669517
749	0.1717452532
750	0.1715761814
751	0.171449083
752	0.171287421
753	0.1711574253
754	0.1709654278
755	0.170832001
756	0.1706739624
757	0.1704034466
758	0.1701799142
759	0.1699719911
760	0.1697486055
761	0.1696205789
762	0.1694536184
763	0.1692209889
764	0.1691394956
765	0.1690280024
766	0.1689238375
767	0.1686898446
768	0.1684854992
769	0.1683183436
770	0.1680898304
771	0.1679019429
772	0.1677445362
773	0.1675752722
774	0.1673656323
775	0.167251205
776	0.1670913004
777	0.1669890614
778	0.1667980089
779	0.1666461163
780	0.1665046407
781	0.1663249208
782	0.1661856413
783	0.1660573048
784	0.1659133244
785	0.1656823499
786	0.1654960533
787	0.1654033962
788	0.1652134501
789	0.1650057388
790	0.1648944316
791	0.1647422365
792	0.1646602746
793	0.1645347145
794	0.1644131148
795	0.1641558929
796	0.1640530067
797	0.1638830702
798	0.1637508096
799	0.1636407953
800	0.1635641753
801	0.1634200471
802	0.1633289497
803	0.163188931
804	0.1629533213
805	0.1627810306
806	0.1625514203
807	0.1624483519
808	0.1623357001
809	0.1621748988
810	0.1619382461
811	0.161794937
812	0.1616224775
813	0.161542405
814	0.1611836361
815	0.1609660423
816	0.1607910398
817	0.1607092707
818	0.1605502862
819	0.1604546948
820	0.1603044978
821	0.1601203725
822	0.1599053766
823	0.1598352821
824	0.1596828672
825	0.1595130805
826	0.1594118563
827	0.1592250629
828	0.1590782365
829	0.158955726
830	0.1588558096
831	0.1586917744
832	0.1584657959
833	0.1582536818
834	0.1581091256
835	0.1579897438
836	0.1578797221
837	0.1578178165
838	0.1576983487
839	0.1575348534
840	0.1574487735
841	0.1572558831
842	0.1570843473
843	0.1569264915
844	0.1567478843
845	0.1564877202
846	0.1564035922
847	0.156280743
848	0.1561817289
849	0.155966421
850	0.1558444588
851	0.1557090406
852	0.1555877884
853	0.1554478755
854	0.1553605362
855	0.1552300069
856	0.1551271508
857	0.1550040587
858	0.1548938495
859	0.1547107483
860	0.1545151952
861	0.1543863771
862	0.1543071676
863	0.1541115804
864	0.1539640198
865	0.1538078013
866	0.153661157
867	0.153516172
868	0.1534082225
869	0.153249844
870	0.1531414938
871	0.1530206311
872	0.1529615325
873	0.1528640521
874	0.1527694356
875	0.1526749646
876	0.1526171772
877	0.1525353564
878	0.1524312679
879	0.1521865466
880	0.1519791837
881	0.1518214496
882	0.1516385116
883	0.1514923045
884	0.1513494627
885	0.1512199956
886	0.1510189464
887	0.1509197996
888	0.1508399269
889	0.1507078924
890	0.1506407366
891	0.1504285651
892	0.1502652055
893	0.150043519
894	0.1499677339
895	0.1498361646
896	0.149747973
897	0.1495618176
898	0.1492718476
899	0.1491644799
900	0.1491019755
901	0.1490131894
902	0.148822452
903	0.1486091186
904	0.1484595295
905	0.1483860897
906	0.1483220262
907	0.1481990716
908	0.1481315126
909	0.1480378576
910	0.1478021616
911	0.1475974405
912	0.147447734
913	0.1473127857
914	0.1471822533
915	0.147102405
916	0.1469296567
917	0.1467641586
918	0.1466428901
919	0.1464378124
920	0.1462489424
921	0.1461505599
922	0.1459884615
923	0.145902748
924	0.1457991109
925	0.1456739319
926	0.145520602
927	0.1453833825
928	0.1452158993
929	0.1451051254
930	0.1449968922
931	0.1448646891
932	0.1447305212
933	0.1446524528
934	0.1445526653
935	0.1444099556
936	0.1442544749
937	0.1441284374
938	0.1440045844
939	0.1439107678
940	0.1438268814
941	0.1437325881
942	0.1436588399
943	0.1435596346
944	0.1434733771
945	0.1433344845
946	0.1432820867
947	0.1432204764
948	0.1431797374
949	0.1431216771
950	0.1429550381
951	0.142893088
952	0.1427899274
953	0.1426250219
954	0.1425300955
955	0.1424596118
956	0.1423569877
957	0.1422783508
958	0.1421832708
959	0.1420395164
960	0.1419811031
961	0.1418679898
962	0.1417661023
963	0.1416421822
964	0.1415825317
965	0.1414289631
966	0.1413565535
967	0.1411794504
968	0.1410451431
969	0.1408044354
970	0.1406545393
971	0.1405222803
972	0.140436322
973	0.1403456612
974	0.140257159
975	0.1401778225
976	0.1401025164
977	0.1400067574
978	0.1398278113
979	0.1397522716
980	0.139616179
981	0.1395202062
982	0.1393732757
983	0.1392333107
984	0.1391821192
985	0.1390891809
986	0.1389445602
987	0.1387353741
988	0.1385467615
989	0.13848918
990	0.1384125533
991	0.1383522468
992	0.1381599018
993	0.1380890805
994	0.1379227145
995	0.1378346194
996	0.1377383236
997	0.1376544832
998	0.1375840861
999	0.1375272103
