date,symbol,price,divpayout_ratio,rev_growth,to_buy
2023-08-24,TMDX,62.35,-0.0,0.15948609431253222,1
2023-08-24,QRVO,99.73,-0.0,0.5646868697414931,1
2023-08-24,BKNG,3026.39,0.0,0.4050822164174035,0
2021-11-22,TTD,103.27,0.0,0.37296741520789783,0
2021-11-22,NCLH,23.0,-0.0,1.4502116405909142,0
2021-11-22,MGM,44.54,-0.0008794707983673566,0.13600767456692364,0
2021-11-22,PAYC,452.71,0.0,0.10491634299938335,0
2021-11-22,WAT,346.46,0.0,0.25390403828498664,0
2021-11-22,FTNT,66.16,0.0,0.18320826359348108,0
2021-11-22,MNDY,328.41,-0.0,0.17546758063004567,1
2021-11-22,REGN,643.64,0.0,0.6613538553633473,0
2021-11-22,LUV,47.72,0.0,0.093170561060512,0
2021-11-22,RKLB,15.91,-0.0,4.025443234836703,0
2021-11-22,GLBE,57.4,-0.0,0.3929668241319163,1
2021-11-22,APP,95.5,0.0,0.11836570575948535,0
2021-11-22,SNPS,347.97,0.0,0.09827022902071225,0
2021-11-22,FISV,95.71,0.0,0.1167119004114027,1
2021-11-22,AMD,152.52,0.0,0.09975155722819362,1
2021-11-22,DLTR,132.56,0.0,0.11064568991856683,1
2021-11-22,TSLA,385.62,0.0,0.2233073154668084,0
2021-11-22,IR,59.92,0.0,0.1150168027071567,0
2021-11-22,UBER,42.6,-0.0,0.21589209959191366,0
2021-11-22,CBRE,99.0,0.0,0.22602881640538602,1
2021-11-22,FSLY,41.24,-0.0,0.10380591845240388,0
2021-11-22,EXPD,130.05,0.0,0.19976080103464594,0
2021-11-22,HST,17.08,-0.0,0.1494616053175195,0
2021-11-22,GTLB,102.55,-0.0,0.1861266272686005,0
2021-11-22,AMZN,178.63,0.0,0.2342505894843161,0
2021-11-22,SNPS,347.97,0.0,0.09827022902071225,0
2021-11-22,GOOGL,146.3,0.0,0.1376003006097013,0
2021-11-22,UAA,25.36,0.0,0.3033982513297162,0
2021-11-22,IONQ,23.18,-0.0,3.565,1
2021-11-22,ISRG,340.72,0.0,0.09900926479653595,0
2021-11-22,DXCM,154.51,0.0,0.12742263871366524,0
2021-11-22,PYPL,189.48,0.0,0.10755367710536283,0
2021-11-22,ZETA,8.29,-0.0,0.11961384779224557,1
2021-11-22,BIO,757.6,0.0,0.09884497100450265,0
2021-11-22,ANSS,396.98,0.0,0.547209492219126,0
2021-11-22,FSLR,108.16,0.0,0.3353993732358214,0
2021-11-22,UA,21.5,0.0,0.3033982513297162,0
2021-11-22,IT,321.83,0.0,0.105943096997638,0
2021-11-22,FTNT,66.16,0.0,0.18320826359348108,0
2021-11-22,CRWD,239.64,-0.0,0.1302315999045681,0
2021-11-22,AZO,1864.88,0.0,0.4565907711255164,0
2021-11-22,RCL,79.27,-0.0,0.8405445037787729,0
2021-11-22,TEAM,403.0,-0.0,0.09843996071838791,0
2021-11-22,S,64.03,-0.0,0.22438375989289577,0
2021-11-22,CFLT,77.09,-0.0,0.20986869978988135,1
2021-11-22,CCJ,24.66,-0.0,0.09342901172040424,0
2021-11-22,BRZE,85.01,-0.0,0.1647641528914647,0
2021-11-22,NVR,5210.82,0.0,0.11051338230001653,0
2021-11-22,META,341.01,0.0,0.13155812827900118,0
2021-11-22,MDB,515.87,-0.0,0.18543263284656936,0
2021-11-22,ZS,343.86,-0.0,0.1373677377474846,0
2021-11-22,TMDX,21.99,-0.0,0.1843764780072521,1
2021-11-22,GOOG,147.08,0.0,0.1376003006097013,0
2021-11-22,NET,186.45,-0.0,0.11543315347222434,1
2021-11-22,HUBS,783.35,-0.0,0.09567568650699124,1
2021-11-22,SNOW,355.96,-0.0,0.21965936216281906,0
2021-11-22,MTD,1523.28,0.0,0.0986315362673247,0
2021-11-22,COTY,10.27,-0.01902654867256637,0.17517520637014933,0
2022-06-15,TTD,48.14,-0.0,0.19766319847077743,0
2022-06-15,NCLH,11.73,-0.0,0.7133009124366971,1
2022-06-15,WAT,324.26,0.0,0.11576105527693503,1
2022-06-15,FTNT,55.5,0.0,0.16021268672424366,1
2022-06-15,MHK,125.42,0.0,0.10396735072784656,0
2022-06-15,MNDY,104.04,-0.0,0.16821032020067003,1
2022-06-15,RKLB,4.33,-0.0,0.29020233252231126,0
2022-06-15,GLBE,18.63,-0.0,0.11199466347635632,1
2022-06-15,MELI,672.69,0.0,0.23030893495045376,1
2022-06-15,IPGP,92.35,0.0,0.11142258973406806,1
2022-06-15,CCL,9.84,-0.0,0.8558450502682451,1
2022-06-15,HIMS,4.07,-0.0,0.13868975635604228,1
2022-06-15,DAL,31.96,-0.0,0.4101555850453542,0
2022-06-15,FISV,91.47,0.0,0.11307090960201341,0
2022-06-15,AMD,89.3,0.0,0.30420175067227917,0
2022-06-15,CLBT,5.02,0.0,0.10476213669602748,1
2022-06-15,AAL,13.31,-0.0,0.5171620474323595,1
2022-06-15,FOUR,33.13,-0.0,0.2199736805625523,1
2022-06-15,LYV,86.68,-0.0,1.0922773696789214,0
2022-06-15,UBER,22.03,-0.0,0.2115044907151605,0
2022-06-15,ORLY,599.01,0.0,0.11345510796269395,1
2022-06-15,MNST,43.94,0.0,0.12822152289484928,1
2022-06-15,EXPD,97.95,0.0,0.0952595868004084,0
2022-06-15,HST,17.61,0.0,0.3250581151690419,0
2022-06-15,GTLB,47.84,-0.0,0.2085537209365892,1
2022-06-15,IONQ,5.0,-0.0,0.22388441375783147,0
2022-06-15,ISRG,196.13,0.0,0.09467031460472565,1
2022-06-15,DXCM,71.51,0.0,0.11802164316287349,1
2022-06-15,ANSS,238.75,0.0,0.14769217303305432,1
2022-06-15,INCY,68.55,0.0,0.09135160190460413,1
2022-06-15,URI,265.96,0.0,0.10524800449842396,0
2022-06-15,FTNT,55.5,0.0,0.16021268672424366,1
2022-06-15,ANET,92.87,0.0,0.1432188822775356,1
2022-06-15,CRWD,164.35,-0.0,0.11206386724785604,1
2022-06-15,RCL,39.69,-0.0,0.836695763445273,0
2022-06-15,S,22.1,-0.0,0.28111224779562993,1
2022-06-15,CFLT,19.5,-0.0,0.11339492632121514,1
2022-06-15,MAR,154.8,0.0,0.18078491011286102,0
2022-06-15,CCJ,22.51,0.0,0.17475017054043387,0
2022-06-15,HLT,121.89,0.0,0.20860176289907306,0
2022-06-15,MNST,43.94,0.0,0.12822152289484928,1
2022-06-15,BRZE,33.65,-0.0,0.11798104539600107,1
2022-06-15,NVR,3909.85,0.0,0.10014782890703477,0
2022-06-15,EXPE,104.41,-0.0,0.329327563409804,0
2022-06-15,ALK,41.18,-0.0,0.5459318215742365,0
2022-06-15,CMG,25.32,0.0,0.11908229905654764,1
2022-06-15,ZS,148.25,-0.0,0.1254043597036533,1
2022-06-15,TMDX,28.2,-0.0,0.6846081151019563,1
2022-06-15,UAL,37.89,-0.0,0.5808411700916626,0
2022-06-15,BA,133.72,-0.0,0.09695363292763065,1
2022-06-15,NET,43.56,-0.0,0.1053539843250117,1
2022-06-15,SNOW,122.54,-0.0,0.12995724876348894,1
2022-06-15,MTD,1167.25,0.0,0.09560997151335167,0
2022-06-15,BKNG,1973.24,-0.0,0.7114863647511569,0
2022-06-15,PANW,162.34,-0.0,0.1360527953029036,1
2021-06-29,TYL,455.73,0.0,0.2902530836854589,1
2021-06-29,WDC,70.65,0.0,0.11210466863000099,0
2021-06-29,MGM,42.19,0.0037278236682146528,0.36455966332759593,0
2021-06-29,TAP,54.43,0.0,0.4827291076161932,0
2021-06-29,FCX,37.27,0.0,0.17656663025486197,0
2021-06-29,FTNT,48.65,0.0,0.09462570225903703,1
2021-06-29,LUV,52.92,0.0,0.903119553511008,0
2021-06-29,WYNN,121.64,0.0010499042629672074,0.20799976691822075,0
2021-06-29,MELI,1583.0,-0.0,0.2795977247758853,0
2021-06-29,APP,83.32,-0.0,0.15645059273043802,0
2021-06-29,IPGP,213.77,0.0,0.15997273337450182,0
2021-06-29,CCL,25.78,-0.0,2.6180269637547173,0
2021-06-29,HIMS,10.69,-0.0,0.1595961611434581,0
2021-06-29,DAL,42.87,-0.0,0.5769806061969736,0
2021-06-29,FISV,106.59,0.0,0.1167119004114027,1
2021-06-29,AMD,89.52,0.0,0.1361559755876165,1
2021-06-29,DELL,51.77,0.0,0.09243850725581633,0
2021-06-29,AAL,21.08,-0.0,0.8105750173937135,0
2021-06-29,FOUR,94.82,-0.0,0.24340428973016132,0
2021-06-29,TSLA,226.92,0.0,0.09839219143087749,0
2021-06-29,LYV,88.48,-0.0,0.7685467018674631,0
2021-06-29,UBER,50.76,-0.0,0.15019297003539206,0
2021-06-29,EXPD,126.12,0.0,0.27547434242924757,0
2021-06-29,HST,16.92,-0.0,0.867372859007007,0
2021-06-29,AMZN,172.41,0.0,0.10440412450047827,1
2021-06-29,GOOGL,122.27,0.0,0.0908944602685482,1
2021-06-29,UAA,21.07,0.0,0.09481609787393133,0
